"Simple_ID","Exposure_ID","Death_timing","Pre_exp_ID","Exposure_type","Exposure_start","Exposure_duration","Animal_type","Death_date","Batch","Notes","Erin_ID","Well_1","Well_2","Well_3","Status","MeanCopy","Well_1_1","Well_2_1","Well_3_1","Status_1","MeanCopy_1","MeanCopyFinal","Exposure_duration_numerical","logMeanCopyFinalPlus1","MeanCopyFinalPlus1","Trio_ID","Larval_condition","Final_status","Final_status_binomial"
"MR195","ELS.SQ.1.2","Died after exposure","ELS1","Sequential",2021-06-27,"1hr","Naive",2021-07-04,1,NA,401,123.5093384,102.9025726,122.9695587,"Pos",116.4604899,NA,NA,NA,NA,NA,116.4604899,1,2.06989180785057,117.4604899,"ELS.1.2","ELS","Pos","1"
"MR194","ALS.SQ.1.1","Died after exposure","ALS4","Sequential",2021-06-27,"1hr","Naive",2021-07-04,1,NA,402,286.9435,352.54309,299.53,"Pos",313.00553,NA,NA,NA,NA,NA,313.00553,1,2.49693729656792,314.00553,"ALS.1.1","ALS","Pos","1"
"MR185","ELS.SH.6.3","Died during exposure","TELS","Shared",2021-06-27,"6hr","Naive",2021-06-27,1,"Found the animal dead and bloated in the exposure container at the end of the exposure time.",403,199.403,229.43058,94.02501,"Pos",174.2861967,NA,NA,NA,NA,NA,174.2861967,6,2.24374771795889,175.2861967,"ELS.6.3","ELS","Pos","1"
"MR386","ELS.SQ.24.5","Euthanization","ELS12","Sequential",2021-07-12,"24hr","Naive",2021-07-19,2,NA,45,492.1260376,526.4837036,576.2731323,"Pos",531.6276245,NA,NA,NA,NA,NA,531.6276245,24,2.7264236871814,532.6276245,"ELS.24.5","ELS","Pos","1"
"MR385","ELS.SQ.24.6","Euthanization","ELS9","Sequential",2021-07-12,"24hr","Naive",2021-07-19,2,NA,42,134720.9531,124346.4063,101971.4531,"Pos",120346.2708,NA,NA,NA,NA,NA,120346.2708,24,5.08043624592023,120347.2708,"ELS.24.6","ELS","Pos","1"
"MR384","EHS.SQ.24.4","Euthanization","EHS9","Sequential",2021-07-12,"24hr","Naive",2021-07-19,2,NA,43,154345536,135983040,109456448,"Pos",133261674.7,NA,NA,NA,NA,NA,133261674.7,24,8.12470527000587,133261675.7,"EHS.24.4","EHS","Pos","1"
"MR383","EHS.SQ.24.5","Euthanization","EHS1","Sequential",2021-07-12,"24hr","Naive",2021-07-19,2,NA,44,157.3875427,168.7489777,132.1173248,"Pos",152.7512817,NA,NA,NA,NA,NA,152.7512817,24,2.18681874482415,153.7512817,"EHS.24.5","EHS","Pos","1"
"MR382","EHS.SQ.24.6","Euthanization","Missing data.","Sequential",2021-07-12,"24hr","Naive",2021-07-19,2,NA,57,682.7600098,631.3886719,644.7856445,"Pos",652.9781087,NA,NA,NA,NA,NA,652.9781087,24,2.81556321096966,653.9781087,"EHS.24.6","EHS","Pos","1"
"MR381","EHS.SQ.24.7","Euthanization","EHS1","Sequential",2021-07-12,"24hr","Naive",2021-07-19,2,NA,58,4213091,2336276.25,5002585,"Pos",3850650.75,NA,NA,NA,NA,NA,3850650.75,24,6.58553424313785,3850651.75,"EHS.24.7","EHS","Pos","1"
"MR380","ALS.SQ.24.5","Euthanization","ALS2","Sequential",2021-07-12,"24hr","Naive",2021-07-19,2,NA,404,903458.58,890392.11,910451,"Pos",901433.8967,NA,NA,NA,NA,NA,901433.8967,24,5.9549343666381,901434.8967,"ALS.24.5","ALS","Pos","1"
